Smiles,chembl_id,chembl_pref_name
CNc1ccc2ncnc(Nc3cccc(C)c3)c2c1,CHEMBL208594,None
CC(=O)N1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)o2)CC1,CHEMBL3546969,None
N#Cc1cccc(Nc2ncnc3ccccc23)c1,CHEMBL3092492,None
CCOC(=O)c1cccc(Nc2ncnc3ccccc23)c1,CHEMBL1625522,None
COc1cc2nc([S+]([O-])CC(=O)Nc3ccc(C)cc3)nc(Nc3c(Cl)cc(/C=C/C#N)cc3Cl)c2cc1OC,CHEMBL4564775,None
COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OCCOC,CHEMBL148869,None
C=CCn1c(C)nc2cc(Nc3nc(N4CCOCC4)nc4ccccc34)ccc21,CHEMBL2382220,None
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)C(C)c4ccc(CC(C)C)cc4)c(OCCOC(=O)C(C)c4ccc(CC(C)C)cc4)cc23)c1,CHEMBL3739528,None
COc1cc2ncnc(Nc3ccc(OCc4ccccc4Br)c(OC)c3)c2cc1OC,CHEMBL587144,None
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1,CHEMBL1201183,None
CCC(=O)Nc1cc2c(Nc3ccc(Cc4ccncc4)cc3)ncnc2cc1OC,CHEMBL3942999,None
C=CC(=O)N1CC[C@@H](Oc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2OC)C1,CHEMBL3943577,None
FC(F)(F)c1nc(Nc2ccc(Cl)cc2Cl)c2ccccc2n1,CHEMBL3890160,None
COc1cc2ncnc(Nc3ccc(NC(C)=O)c(C)c3)c2cc1OC,CHEMBL3301701,None
Fc1ccc(Nc2ncnc3ccc(C#CCN4CCCCC4)cc23)cc1Cl,CHEMBL251700,None
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1N1CCOCC1,CHEMBL3623283,None
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,CHEMBL40734,None
Oc1ccccc1Nc1nc(-c2cccnc2)nc2ccccc12,CHEMBL1197887,None
COc1cc2ncnc(Nc3ccc(Cc4ccccn4)cc3)c2cc1NC(=O)/C=C/CN1CCCC1,CHEMBL3930965,None
COc1cc2ncnc(Nc3ccc(C)c(C(F)(F)F)c3)c2cc1OC,CHEMBL1277527,None
COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCc1nccn1C,CHEMBL3797991,None
C[C@@H]1CN(CCCc2nc(Nc3ccc(C(F)(F)F)cc3)c3ccc(-c4ncccc4C(F)(F)F)cc3n2)C[C@H](C)O1,CHEMBL446258,None
CN(CCS(C)(=O)=O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1,CHEMBL531785,None
Cn1ccnc1S(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CHEMBL532686,None
COc1ccccc1/C=C/c1nc(Nc2ccccc2Cl)c2ccccc2n1,CHEMBL4550950,None
COc1ccc(/C=C/C(=O)c2ccc(Nc3ncnc4ccccc34)cc2)cc1OC,CHEMBL3809167,None
CCN(CCS(C)(=O)=O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CHEMBL546497,None
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Br)c(OC)c3)c2c1,CHEMBL3133905,None
Cl.c1ccc(Nc2ncnc3ccccc23)cc1,CHEMBL1698739,None
COc1cc2c(Nc3ccccc3F)ncnc2c(OC)c1OC,CHEMBL228620,None
O=[N+]([O-])c1ccc(O)c(Nc2ncnc3ccc(Br)cc23)c1,CHEMBL1616549,None
Cc1nc(N(C)c2ccc(OCCN3CCN(Cc4ccc(C(C)(C)C)cc4)CC3)cc2)c2ccccc2n1,CHEMBL3787546,None
COc1ccc(OC)c(Nc2nc(/C=C/c3ccccc3OC(C)=O)nc3ccccc23)c1,CHEMBL4458986,None
COc1cc2ncnc(Nc3ccc(OCc4ccccc4)c(I)c3)c2cc1OC,CHEMBL531423,None
COc1cc2ncnc(Nc3cccc(N(CCCl)CCCl)c3)c2cc1OC,CHEMBL3039688,None
C[Se]c1ccc(N(C)c2nc(C)nc3ccccc23)cc1C,CHEMBL4070783,None
COCCOc1cc2ncnc(Nc3cccc(N(CCCl)CCCl)c3)c2cc1OCCOC,CHEMBL3040850,None
COc1ccc(Nc2nc(Nc3ccc(OC)cc3)c3ccccc3n2)cc1,CHEMBL1197601,None
Cn1cc([N+](=O)[O-])nc1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],CHEMBL4473277,None
C#Cc1cc(Nc2ncnc3cc(O)c(OCCCCCCC(=O)NO)cc23)ccc1O,CHEMBL3973930,None
COc1cc2ncnc(Nc3ccc(N(CCCl)CCCl)cc3)c2cc1OC,CHEMBL3039689,None
COc1cc2ncnc(Nc3ccc4c(c3)CCC4)c2cc1OC,CHEMBL1196033,None
COc1ccc(Nc2ncnc3ccc(NC(=O)Nc4cccc(C#N)c4)cc23)cc1,CHEMBL467855,None
COc1cc2ncnc(Nc3ccc(OC(F)(F)c4ccccc4)cc3)c2cc1OC.Cl,CHEMBL529120,None
CCOc1cc2ncnc(Nc3ccc(OCc4ccccc4F)c(Cl)c3)c2cc1OCC,CHEMBL535563,None
CCNc1nc(N2CC(=O)Nc3cc(OC)ccc32)c2ccccc2n1,CHEMBL4095378,None
O=C(/C=C/c1c[nH]c2ccccc12)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL2424805,None
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C(=O)c2c(C)noc2C)CCO1,CHEMBL3947700,None
c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCO5)c2)nc1,CHEMBL3305619,None
COc1cc(Nc2nc(-c3ccc(OC)c(OC)c3)nc3ccccc23)cc(OC)c1,CHEMBL1512319,None
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(CCO)CCO1,CHEMBL3893176,None
COc1cc2ncnc(Nc3ccc(OC(F)(F)c4ccccc4)cc3)c2cc1OC,CHEMBL526757,None
CS(=O)(=O)CCN(CCS(C)(=O)=O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CHEMBL529972,None
O=C(/C=C/c1cccc2ccccc12)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL1812569,None
COc1ccc(N(C)c2nc(Nc3ccccc3C)[n+](C)c3ccccc23)cc1,CHEMBL1179662,None
Cc1cccc(Nc2ncnc3cc4c(cc23)n(C)c(=O)n4C)c1,CHEMBL3039701,None
Clc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,CHEMBL3805681,None
CC#CCNC(=O)[C@@H](C)Oc1cc(F)ccc1Nc1ncnc2cc(N=S(C)(C)=O)cc(C)c12,CHEMBL4107564,None
CCN(CC)CCCNc1nc(Nc2ccc(Cl)c(Cl)c2)c2ccccc2n1,CHEMBL284639,None
COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1.Cc1ccc(S(=O)(=O)O)cc1,CHEMBL3544982,TESEVATINIB TOSYLATE
COc1cc2ncnc(N(C)c3cccc(Cl)c3)c2cc1OC.Cl,CHEMBL553908,None
